institution,country,arwu_rank,arwu_score,tuition_in_state_usd,tuition_out_state_usd,total_cost_usd,uk_home_fee_gbp,uk_intl_fee_gbp,price_usd,rank
University of Michigan-Flint,United States,70,23.4,14014.0,31274.0,23329.0,,,31274.0,70
Northern Michigan University,United States,401,2.6,13304.0,18800.0,26206.0,,,18800.0,401
Northwood University,United States,24,39.1,33000.0,33000.0,47114.0,,,33000.0,24
Oakland University,United States,10,54.1,14694.0,23188.0,25016.0,,,23188.0,10
Saginaw Valley State University,United States,63,25.5,12240.0,28752.0,24043.0,,,28752.0,63
Siena Heights University,United States,31,36.2,29778.0,29778.0,42802.0,,,29778.0,31
Wayne State University,United States,63,25.5,14297.0,30419.0,26794.0,,,30419.0,63
Western Michigan University,United States,73,22.5,15298.0,19098.0,28655.0,,,19098.0,73
Linfield University,United States,10,54.1,49530.0,49530.0,63825.0,,,49530.0,10
Brigham Young University-Hawaii,United States,401,5.0,6438.0,6438.0,22970.0,,,6438.0,401
University of Kansas,United States,301,11.3,11700.0,29412.0,25215.0,,,29412.0,301
University of Colorado Boulder,United States,34,35.2,16430.0,41943.0,33466.0,,,41943.0,34
Rutgers University-Newark,United States,401,2.9,16586.0,35348.0,33749.0,,,35348.0,401
Rutgers University-Camden,United States,401,2.9,17079.0,35841.0,33812.0,,,35841.0,401
University of Louisiana at Monroe,United States,401,2.0,9190.0,21290.0,23552.0,,,21290.0,401
University of South Carolina Aiken,United States,46,31.2,10760.0,21218.0,20922.0,,,21218.0,46
University of Arizona,United States,62,25.8,13626.0,41095.0,28543.0,,,41095.0,62
Rogers State University,United States,52,28.8,7392.0,15176.0,21023.0,,,15176.0,52
Saint Ambrose University,United States,401,4.1,35598.0,35598.0,50018.0,,,35598.0,401
University of Virginia-Main Campus,United States,66,24.6,20986.0,58014.0,38132.0,,,58014.0,66
University of Mobile,United States,5,67.2,26120.0,26120.0,38731.0,,,26120.0,5
The University of the South,United States,401,1.4,53698.0,53698.0,68704.0,,,53698.0,401
Lipscomb University,United States,7,60.4,38824.0,38824.0,53549.0,,,38824.0,7
Augustana University,United States,401,4.1,39190.0,39190.0,53169.0,,,39190.0,401
Lander University,United States,201,14.3,11700.0,21300.0,26069.0,,,21300.0,201
Furman University,United States,201,14.9,58312.0,58312.0,73760.0,,,58312.0,201
Pacific University,United States,61,26.1,54466.0,54466.0,69330.0,,,54466.0,61
University of Arkansas,United States,62,25.8,9748.0,28772.0,26161.0,,,28772.0,62
University of Tulsa,United States,50,30.0,48602.0,48602.0,63093.0,,,48602.0,50
Oklahoma Christian University,United States,52,28.8,25900.0,25900.0,38029.0,,,25900.0,52
Thomas Edison State University,United States,52,28.8,6638.0,8598.0,,,,8598.0,52
University of Nebraska at Kearney,United States,38,33.8,8302.0,14260.0,24452.0,,,14260.0,38
The University of Montana,United States,301,8.9,8152.0,31622.0,23744.0,,,31622.0,301
Saint Cloud State University,United States,52,28.8,10117.0,10117.0,21389.0,,,10117.0,52
University of Northwestern-St Paul,United States,60,26.4,36830.0,36830.0,48246.0,,,36830.0,60
MCPHS University,United States,56,27.6,38850.0,38850.0,58975.0,,,38850.0,56
University of Maine at Augusta,United States,38,33.8,8618.0,21548.0,18813.0,,,21548.0,38
Tulane University of Louisiana,United States,58,27.0,65538.0,65538.0,83761.0,,,65538.0,58
Northwestern State University of Louisiana,United States,24,39.1,8864.0,19652.0,24496.0,,,19652.0,24
Purdue University Fort Wayne,United States,68,24.0,9254.0,22220.0,19714.0,,,22220.0,68
Northwest Nazarene University,United States,24,39.1,39370.0,39370.0,50275.0,,,39370.0,24
Regis University,United States,61,26.1,43980.0,43980.0,54889.0,,,43980.0,61
Rowan University,United States,401,4.1,15700.0,25564.0,34116.0,,,25564.0,401
Mount Mercy University,United States,57,27.3,39070.0,39070.0,52436.0,,,39070.0,57
Asbury University,United States,57,27.3,33640.0,33640.0,46209.0,,,33640.0,57
University of the Cumberlands,United States,401,6.5,9875.0,9875.0,24654.0,,,9875.0,401
Rose-Hulman Institute of Technology,United States,72,22.8,56674.0,56674.0,74226.0,,,56674.0,72
New Jersey Institute of Technology,United States,72,22.8,19022.0,35934.0,32228.0,,,35934.0,72
DigiPen Institute of Technology,United States,72,22.8,37400.0,37400.0,51366.0,,,37400.0,72
West Virginia University Institute of Technology,United States,72,22.8,8064.0,20120.0,18343.0,,,20120.0,72
Oregon Institute of Technology,United States,72,22.8,12687.0,35592.0,26675.0,,,35592.0,72
Stevens Institute of Technology,United States,72,22.8,60952.0,60952.0,76449.0,,,60952.0,72
Wentworth Institute of Technology,United States,72,22.8,41010.0,41010.0,55030.0,,,41010.0,72
Massachusetts Institute of Technology,United States,3,75.4,60156.0,60156.0,79850.0,,,60156.0,3
Indiana Institute of Technology,United States,8,59.5,30446.0,30446.0,43490.0,,,30446.0,8
University of Cambridge,United Kingdom,5,67.2,,,,9250.0,27048.0,34350.96,5
University of Oxford,United Kingdom,16,45.4,,,,9250.0,28950.0,36766.5,16
Imperial College London,United Kingdom,23,39.8,,,,9250.0,37900.0,48133.0,23
University College London,United Kingdom,18,43.2,,,,9250.0,31200.0,39624.0,18
London School of Economics and Political Science,United Kingdom,76,24.3,,,,9250.0,25608.0,32522.16,76
King's College London,United Kingdom,33,35.6,,,,9250.0,31350.0,39814.5,33
University of Edinburgh,United Kingdom,36,34.5,,,,1820.0,26500.0,33655.0,36
University of Manchester,United Kingdom,41,32.9,,,,9250.0,26000.0,33020.0,41
University of Warwick,United Kingdom,201,15.2,,,,9250.0,27060.0,34366.2,201
University of Bristol,United Kingdom,51,29.1,,,,9250.0,27200.0,34544.0,51
University of Glasgow,United Kingdom,101,21.2,,,,1820.0,24540.0,31165.8,101
Durham University,United Kingdom,201,14.9,,,,9250.0,28500.0,36195.0,201
University of Sheffield,United Kingdom,151,17.9,,,,9250.0,23650.0,30035.5,151
University of Birmingham,United Kingdom,151,18.5,,,,9250.0,25860.0,32842.2,151
University of Leeds,United Kingdom,151,18.4,,,,9250.0,24500.0,31115.0,151
University of Nottingham,United Kingdom,151,18.0,,,,9250.0,26000.0,33020.0,151
University of Southampton,United Kingdom,151,17.8,,,,9250.0,24400.0,30988.0,151
University of York,United Kingdom,201,15.5,,,,9250.0,24450.0,31051.5,201
Newcastle University,United Kingdom,201,16.0,,,,9250.0,24000.0,30480.0,201
University of Liverpool,United Kingdom,151,18.1,,,,9250.0,23400.0,29718.0,151
Cardiff University,United Kingdom,201,16.2,,,,9000.0,24450.0,31051.5,201
Queen Mary University of London,United Kingdom,201,15.8,,,,9250.0,26250.0,33337.5,201
University of Exeter,United Kingdom,201,14.6,,,,9250.0,27000.0,34290.0,201
Lancaster University,United Kingdom,201,14.3,,,,9250.0,25040.0,31800.8,201
University of Bath,United Kingdom,201,14.0,,,,9250.0,25900.0,32893.0,201
Loughborough University,United Kingdom,201,13.7,,,,9250.0,27700.0,35179.0,201
University of Surrey,United Kingdom,201,13.4,,,,9250.0,23800.0,30226.0,201
University of Leicester,United Kingdom,201,13.1,,,,9250.0,21750.0,27622.5,201
University of Strathclyde,United Kingdom,301,12.8,,,,1820.0,22400.0,28448.0,301
University of East Anglia,United Kingdom,301,12.5,,,,9250.0,22800.0,28956.0,301
University of Reading,United Kingdom,301,12.2,,,,9250.0,22350.0,28384.5,301
University of Sussex,United Kingdom,301,11.9,,,,9250.0,22500.0,28575.0,301
Royal Holloway University of London,United Kingdom,301,11.6,,,,9250.0,23200.0,29464.0,301
University of Kent,United Kingdom,301,11.3,,,,9250.0,19500.0,24765.0,301
University of St Andrews,United Kingdom,301,11.0,,,,1820.0,30160.0,38303.2,301
University of Aberdeen,United Kingdom,301,10.7,,,,1820.0,24800.0,31496.0,301
University of Stirling,United Kingdom,301,10.4,,,,1820.0,16400.0,20828.0,301
Heriot-Watt University,United Kingdom,301,10.1,,,,1820.0,19792.0,25135.84,301
University of Dundee,United Kingdom,301,9.8,,,,1820.0,25300.0,32131.0,301
Glasgow Caledonian University,United Kingdom,301,9.5,,,,1820.0,15500.0,19685.0,301
Robert Gordon University,United Kingdom,301,9.2,,,,1820.0,17000.0,21590.0,301
City University of London,United Kingdom,301,8.9,,,,9250.0,21500.0,27305.0,301
Goldsmiths University of London,United Kingdom,301,8.6,,,,9250.0,18440.0,23418.8,301
Brunel University London,United Kingdom,301,8.3,,,,9250.0,20810.0,26428.7,301
Middlesex University,United Kingdom,301,8.0,,,,9250.0,16200.0,20574.0,301
University of Greenwich,United Kingdom,401,7.7,,,,9250.0,17000.0,21590.0,401
London Metropolitan University,United Kingdom,401,7.4,,,,9250.0,15576.0,19781.52,401
Coventry University,United Kingdom,401,7.1,,,,9250.0,16800.0,21336.0,401
University of Chester,United Kingdom,401,6.8,,,,9250.0,13450.0,17081.5,401
University of Cumbria,United Kingdom,401,6.5,,,,9250.0,13575.0,17240.25,401
Teesside University,United Kingdom,401,6.2,,,,9250.0,15000.0,19050.0,401
University of Bolton,United Kingdom,401,5.9,,,,9250.0,12950.0,16446.5,401
University of Bedfordshire,United Kingdom,401,5.6,,,,9250.0,14600.0,18542.0,401
University of Wolverhampton,United Kingdom,401,5.3,,,,9250.0,14450.0,18351.5,401
Birmingham City University,United Kingdom,401,5.0,,,,9250.0,16300.0,20701.0,401
Manchester Metropolitan University,United Kingdom,401,4.7,,,,9250.0,18500.0,23495.0,401
Sheffield Hallam University,United Kingdom,401,4.4,,,,9250.0,16895.0,21456.65,401
Swansea University,United Kingdom,401,4.1,,,,9000.0,20550.0,26098.5,401
Bangor University,United Kingdom,401,3.8,,,,9000.0,17500.0,22225.0,401
Aberystwyth University,United Kingdom,401,3.5,,,,9000.0,16300.0,20701.0,401
Cardiff Metropolitan University,United Kingdom,401,3.2,,,,9000.0,15000.0,19050.0,401
Ulster University,United Kingdom,401,2.9,,,,4710.0,15840.0,20116.8,401
Northumbria University,United Kingdom,401,2.6,,,,9250.0,17500.0,22225.0,401
University of Hull,United Kingdom,401,2.3,,,,9250.0,19500.0,24765.0,401
University of Lincoln,United Kingdom,401,2.0,,,,9250.0,16200.0,20574.0,401
University of Plymouth,United Kingdom,401,1.7,,,,9250.0,16700.0,21209.0,401
University of Portsmouth,United Kingdom,401,1.4,,,,9250.0,19200.0,24384.0,401
Oxford Brookes University,United Kingdom,401,1.1,,,,9250.0,16900.0,21463.0,401
De Montfort University,United Kingdom,401,0.8,,,,9250.0,15750.0,20002.5,401
Nottingham Trent University,United Kingdom,401,0.5,,,,9250.0,16500.0,20955.0,401
